1594709389.246562,1594670164.146335,in,1,"2020-07-14 13:07:49",1,1
1594709389.502313,1594709389.209000,sys,1,"2020-07-14 13:07:49",-1,-1
1594709390.976804,1594670165.590441,in,1,"2020-07-14 13:07:50",1,1
1594709391.837844,1594486776.026179,out1,1,"2020-07-14 13:07:51",0,-1
1594709391.990603,1594670167.054282,in,1,"2020-07-14 13:07:51",0,1
1594709393.285767,1594670167.974131,in,1,"2020-07-14 13:07:53",1,1
1594709394.482439,1594486777.972658,out1,1,"2020-07-14 13:07:54",-1,-1
1594709394.730217,1594670169.613769,in,1,"2020-07-14 13:07:54",1,1
1594709395.965452,1594486779.478690,out1,1,"2020-07-14 13:07:55",-1,-1
1594709396.429206,1594670171.063720,in,1,"2020-07-14 13:07:56",1,1
1594709406.428917,1594486789.693831,out1,1,"2020-07-14 13:07:06",-1,-1
1594709411.767864,1594486795.435487,out1,1,"2020-07-14 13:07:11",-1,-1
1594709416.381631,1594486800.185779,out1,1,"2020-07-14 13:07:16",-1,-1
1594709417.067800,1594670192.402951,in,1,"2020-07-14 13:07:17",0,1
1594709417.471668,1594709417.168000,sys,1,"2020-07-14 13:07:17",-1,-1
1594709417.750482,1594709417.748000,sys,1,"2020-07-14 13:07:17",-1,-1
1594709418.104115,1594670193.091848,in,1,"2020-07-14 13:07:18",0,1
1594709418.586080,1594670193.423629,in,3,"2020-07-14 13:07:18",1,1
1594709420.423895,1594486804.340157,out1,1,"2020-07-14 13:07:20",-1,-1
1594709421.071494,1594670196.020085,in,3,"2020-07-14 13:07:21",1,1
1594709422.915404,1594486806.596630,out1,1,"2020-07-14 13:07:22",-1,-1
1594709424.335403,1594670199.221407,in,3,"2020-07-14 13:07:24",1,1
1594709424.803895,1594670199.627339,in,1,"2020-07-14 13:07:24",1,1
1594709425.466618,1594670200.406185,in,3,"2020-07-14 13:07:25",0,1
1594709429.075621,1594670204.106701,in,1,"2020-07-14 13:07:29",0,1
1594709430.035378,1594709429.732000,sys,1,"2020-07-14 13:07:30",-1,-1
1594709441.213469,1594709440.909000,sys,1,"2020-07-14 13:07:41",-1,-1
1594709453.150789,1594670228.080413,in,1,"2020-07-14 13:07:53",1,1
1594709454.363197,1594709454.060000,sys,1,"2020-07-14 13:07:54",-1,-1
1594709455.536391,1594670230.303357,in,1,"2020-07-14 13:07:55",1,1
1594709457.009454,1594670231.844901,in,1,"2020-07-14 13:07:57",1,1
1594709458.416054,1594670233.259015,in,1,"2020-07-14 13:07:58",1,1
